dataset,cardinality,dimensionality,num_components,num_clusters,num_edges,min_depth,max_depth,method,auc_roc
OOK_-20,40959,2048,1,744,276396,5,23,cluster_cardinality,0.49
OOK_-20,40959,2048,1,26,325,4,7,cluster_cardinality,0.51
OOK_-20,40959,2048,1,43,903,4,12,graph_neighborhood,0.5
OOK_-20,40959,2048,1,886,392055,5,23,parent_cardinality,0.5
OOK_-20,40959,2048,1,85,3570,4,12,parent_cardinality,0.51
OOK_-20,40959,2048,1,26,325,4,12,stationary_probabilities,0.5
OOK_-20,40959,2048,1,755,284635,5,23,vertex_degree,0.5
OOK_-20,40959,2048,1,36,630,4,9,vertex_degree,0.5
OOK_-20,40959,2048,1,770,296065,4,26,cluster_cardinality,0.49
OOK_-20,40959,2048,1,48,1128,4,11,cluster_cardinality,0.5
OOK_-20,40959,2048,1,21,210,4,6,component_cardinality,0.5
OOK_-20,40959,2048,1,19,171,4,6,graph_neighborhood,0.5
OOK_-20,40959,2048,1,824,339076,4,26,parent_cardinality,0.5
OOK_-20,40959,2048,1,34,561,4,8,parent_cardinality,0.5
OOK_-20,40959,2048,1,21,210,4,5,stationary_probabilities,0.5
OOK_-20,40959,2048,1,791,312445,4,20,vertex_degree,0.5
OOK_-20,40959,2048,1,84,3486,4,11,vertex_degree,0.5
OOK_-18,40959,2048,1,711,252405,5,21,cluster_cardinality,0.49
OOK_-18,40959,2048,1,34,561,4,8,cluster_cardinality,0.51
OOK_-18,40959,2048,1,44,946,4,11,graph_neighborhood,0.5
OOK_-18,40959,2048,1,957,457446,5,21,parent_cardinality,0.5
OOK_-18,40959,2048,1,102,5151,4,12,parent_cardinality,0.51
OOK_-18,40959,2048,1,18,153,4,5,stationary_probabilities,0.5
OOK_-18,40959,2048,1,758,286903,5,21,vertex_degree,0.5
OOK_-18,40959,2048,1,67,2211,4,11,vertex_degree,0.5
OOK_-18,40959,2048,1,688,236328,5,18,cluster_cardinality,0.5
OOK_-18,40959,2048,1,56,1540,4,10,cluster_cardinality,0.5
OOK_-18,40959,2048,1,42,861,4,11,component_cardinality,0.5
OOK_-18,40959,2048,1,14,91,4,4,graph_neighborhood,0.5
OOK_-18,40959,2048,1,740,273430,5,18,parent_cardinality,0.5
OOK_-18,40959,2048,1,35,595,4,8,parent_cardinality,0.5
OOK_-18,40959,2048,1,19,171,4,5,stationary_probabilities,0.5
OOK_-18,40959,2048,1,698,243253,5,18,vertex_degree,0.5
OOK_-18,40959,2048,1,43,903,4,10,vertex_degree,0.5
OOK_-16,40959,2048,1,617,189874,5,16,cluster_cardinality,0.5
OOK_-16,40959,2048,1,32,496,4,9,cluster_cardinality,0.5
OOK_-16,40959,2048,1,29,406,4,9,graph_neighborhood,0.5
OOK_-16,40959,2048,1,934,435446,5,19,parent_cardinality,0.5
OOK_-16,40959,2048,1,53,1378,4,11,parent_cardinality,0.5
OOK_-16,40959,2048,1,28,378,4,11,stationary_probabilities,0.51
OOK_-16,40959,2048,1,627,196086,5,17,vertex_degree,0.5
OOK_-16,40959,2048,1,32,496,4,9,vertex_degree,0.5
OOK_-16,40959,2048,1,601,180300,5,18,cluster_cardinality,0.5
OOK_-16,40959,2048,1,55,1485,4,10,cluster_cardinality,0.5
OOK_-16,40959,2048,1,30,435,4,7,component_cardinality,0.5
OOK_-16,40959,2048,1,16,120,4,4,graph_neighborhood,0.5
OOK_-16,40959,2048,1,718,257403,5,19,parent_cardinality,0.51
OOK_-16,40959,2048,1,38,703,4,9,parent_cardinality,0.5
OOK_-16,40959,2048,1,22,231,4,6,stationary_probabilities,0.49
OOK_-16,40959,2048,1,663,219453,5,19,vertex_degree,0.5
OOK_-16,40959,2048,1,85,3570,4,11,vertex_degree,0.5
OOK_-14,40959,2048,1,767,293761,5,18,cluster_cardinality,0.5
OOK_-14,40959,2048,1,21,210,4,6,cluster_cardinality,0.51
OOK_-14,40959,2048,1,22,231,4,8,graph_neighborhood,0.5
OOK_-14,40959,2048,1,918,420903,5,18,parent_cardinality,0.51
OOK_-14,40959,2048,1,63,1953,4,13,parent_cardinality,0.51
OOK_-14,40959,2048,1,23,253,4,7,stationary_probabilities,0.5
OOK_-14,40959,2048,1,785,307720,5,18,vertex_degree,0.5
OOK_-14,40959,2048,1,31,465,4,8,vertex_degree,0.5
OOK_-14,40959,2048,1,746,277449,5,16,cluster_cardinality,0.51
OOK_-14,40959,2048,1,45,990,4,10,cluster_cardinality,0.5
OOK_-14,40959,2048,1,36,630,4,9,component_cardinality,0.5
OOK_-14,40959,2048,1,16,120,4,4,graph_neighborhood,0.5
OOK_-14,40959,2048,1,795,315152,5,18,parent_cardinality,0.51
OOK_-14,40959,2048,1,37,666,4,9,parent_cardinality,0.5
OOK_-14,40959,2048,1,23,253,4,6,stationary_probabilities,0.5
OOK_-14,40959,2048,1,694,240070,5,18,vertex_degree,0.5
OOK_-14,40959,2048,1,198,19503,4,16,vertex_degree,0.5
OOK_-12,40959,2048,1,647,208981,5,16,cluster_cardinality,0.5
OOK_-12,40959,2048,1,26,325,4,9,cluster_cardinality,0.5
OOK_-12,40959,2048,1,45,990,4,10,graph_neighborhood,0.5
OOK_-12,40959,2048,1,922,424581,6,18,parent_cardinality,0.5
OOK_-12,40959,2048,1,183,16653,4,15,parent_cardinality,0.5
OOK_-12,40959,2048,1,40,780,4,10,stationary_probabilities,0.5
OOK_-12,40959,2048,1,690,237705,5,17,vertex_degree,0.5
OOK_-12,40959,2048,1,21,210,4,7,vertex_degree,0.5
OOK_-12,40959,2048,1,643,206403,4,16,cluster_cardinality,0.49
OOK_-12,40959,2048,1,51,1275,4,10,cluster_cardinality,0.5
OOK_-12,40959,2048,1,32,496,4,10,component_cardinality,0.5
OOK_-12,40959,2048,1,16,120,4,4,graph_neighborhood,0.5
OOK_-12,40959,2048,1,782,304943,5,17,parent_cardinality,0.49
OOK_-12,40959,2048,1,38,703,4,8,parent_cardinality,0.5
OOK_-12,40959,2048,1,22,231,4,6,stationary_probabilities,0.51
OOK_-12,40959,2048,1,706,248487,5,16,vertex_degree,0.5
OOK_-12,40959,2048,1,181,16290,4,14,vertex_degree,0.5
OOK_-10,40959,2048,1,770,296065,5,18,cluster_cardinality,0.51
OOK_-10,40959,2048,1,32,496,4,9,cluster_cardinality,0.5
OOK_-10,40959,2048,1,33,528,4,9,graph_neighborhood,0.5
OOK_-10,40959,2048,1,911,414505,5,18,parent_cardinality,0.5
OOK_-10,40959,2048,1,85,3570,4,11,parent_cardinality,0.5
OOK_-10,40959,2048,1,35,595,4,16,stationary_probabilities,0.5
OOK_-10,40959,2048,1,807,325221,5,18,vertex_degree,0.5
OOK_-10,40959,2048,1,48,1128,4,10,vertex_degree,0.5
OOK_-10,40959,2048,1,726,263175,4,19,cluster_cardinality,0.5
OOK_-10,40959,2048,1,67,2211,4,11,cluster_cardinality,0.49
OOK_-10,40959,2048,1,33,528,4,9,component_cardinality,0.5
OOK_-10,40959,2048,1,16,120,4,4,graph_neighborhood,0.5
OOK_-10,40959,2048,1,802,321201,4,19,parent_cardinality,0.5
OOK_-10,40959,2048,1,41,820,4,10,parent_cardinality,0.49
OOK_-10,40959,2048,1,19,171,4,5,stationary_probabilities,0.5
OOK_-10,40959,2048,1,705,248160,4,19,vertex_degree,0.5
OOK_-10,40959,2048,1,49,1176,4,10,vertex_degree,0.5
OOK_-8,40959,2048,1,636,201930,4,17,cluster_cardinality,0.52
OOK_-8,40959,2048,1,24,276,4,6,cluster_cardinality,0.53
OOK_-8,40959,2048,1,24,276,4,8,graph_neighborhood,0.5
OOK_-8,40959,2048,1,925,427350,5,22,parent_cardinality,0.54
OOK_-8,40959,2048,1,105,5460,4,12,parent_cardinality,0.53
OOK_-8,40959,2048,1,38,703,4,13,stationary_probabilities,0.52
OOK_-8,40959,2048,1,663,219453,4,17,vertex_degree,0.5
OOK_-8,40959,2048,1,25,300,4,7,vertex_degree,0.5
OOK_-8,40959,2048,1,778,302253,4,18,cluster_cardinality,0.51
OOK_-8,40959,2048,1,55,1485,4,10,cluster_cardinality,0.51
OOK_-8,40959,2048,1,35,595,4,9,component_cardinality,0.5
OOK_-8,40959,2048,1,16,120,4,4,graph_neighborhood,0.5
OOK_-8,40959,2048,1,813,330078,4,18,parent_cardinality,0.51
OOK_-8,40959,2048,1,35,595,4,8,parent_cardinality,0.51
OOK_-8,40959,2048,1,22,231,4,6,stationary_probabilities,0.51
OOK_-8,40959,2048,1,753,283128,4,18,vertex_degree,0.5
OOK_-8,40959,2048,1,56,1540,4,10,vertex_degree,0.5
OOK_-6,40959,2048,1,585,170348,5,17,cluster_cardinality,0.5
OOK_-6,40959,2048,1,21,210,4,6,cluster_cardinality,0.69
OOK_-6,40959,2048,1,31,465,4,8,graph_neighborhood,0.5
OOK_-6,40959,2048,1,976,474979,5,19,parent_cardinality,0.59
OOK_-6,40959,2048,1,101,5050,4,12,parent_cardinality,0.62
OOK_-6,40959,2048,1,19,171,4,6,stationary_probabilities,0.66
OOK_-6,40959,2048,1,604,181635,5,18,vertex_degree,0.53
OOK_-6,40959,2048,1,31,465,4,7,vertex_degree,0.5
OOK_-6,40959,2048,1,718,257047,4,18,cluster_cardinality,0.58
OOK_-6,40959,2048,1,54,1431,4,10,cluster_cardinality,0.71
OOK_-6,40959,2048,1,35,595,4,11,component_cardinality,0.5
OOK_-6,40959,2048,1,16,120,4,4,graph_neighborhood,0.5
OOK_-6,40959,2048,1,770,295684,4,18,parent_cardinality,0.6
OOK_-6,40959,2048,1,39,741,4,8,parent_cardinality,0.71
OOK_-6,40959,2048,1,19,171,4,5,stationary_probabilities,0.74
OOK_-6,40959,2048,1,747,278270,5,18,vertex_degree,0.55
OOK_-6,40959,2048,1,257,32896,4,16,vertex_degree,0.5
OOK_-4,40959,2048,1,678,229196,4,20,cluster_cardinality,0.46
OOK_-4,40959,2048,1,25,300,4,8,cluster_cardinality,0.96
OOK_-4,40959,2048,1,25,300,4,8,graph_neighborhood,0.5
OOK_-4,40959,2048,1,887,392511,4,21,parent_cardinality,0.72
OOK_-4,40959,2048,1,83,3403,4,14,parent_cardinality,0.91
OOK_-4,40959,2048,1,19,171,4,7,stationary_probabilities,0.93
OOK_-4,40959,2048,1,727,263579,4,20,vertex_degree,0.56
OOK_-4,40959,2048,1,72,2556,4,9,vertex_degree,0.5
OOK_-4,40959,2048,1,787,309291,5,21,cluster_cardinality,0.52
OOK_-4,40959,2048,1,53,1378,4,9,cluster_cardinality,0.95
OOK_-4,40959,2048,1,35,595,4,8,component_cardinality,0.5
OOK_-4,40959,2048,1,16,120,4,4,graph_neighborhood,0.5
OOK_-4,40959,2048,1,789,310866,5,21,parent_cardinality,0.76
OOK_-4,40959,2048,1,32,496,4,7,parent_cardinality,0.95
OOK_-4,40959,2048,1,22,231,4,5,stationary_probabilities,0.97
OOK_-4,40959,2048,1,781,304590,5,21,vertex_degree,0.5
OOK_-4,40959,2048,1,322,51681,4,16,vertex_degree,0.5
OOK_-2,40959,2048,1,800,318531,4,20,cluster_cardinality,0.6
OOK_-2,40959,2048,1,30,398,4,8,cluster_cardinality,0.99
OOK_-2,40959,2048,1,32,453,4,9,graph_neighborhood,0.5
OOK_-2,40959,2048,1,1024,522389,4,22,parent_cardinality,0.97
OOK_-2,40959,2048,1,40,746,4,8,parent_cardinality,0.99
OOK_-2,40959,2048,1,17,126,4,5,stationary_probabilities,1
OOK_-2,40959,2048,1,857,365645,4,21,vertex_degree,0.8
OOK_-2,40959,2048,1,164,13217,4,14,vertex_degree,0.4
OOK_-2,40959,2048,1,741,274170,4,20,cluster_cardinality,0.43
OOK_-2,40959,2048,1,48,1128,4,10,cluster_cardinality,0.99
OOK_-2,40959,2048,1,28,378,4,8,component_cardinality,0.5
