dataset,roc_score,time
OOK_-20,0.499195002,528.0883327
OOK_-18,0.500949956,803.967571
OOK_-16,0.502307631,846.7408924
OOK_-14,0.508239632,646.6781852
OOK_-12,0.502818743,1071.371603
OOK_-10,0.50024011,775.8335826
OOK_-8,0.544219733,926.4484506
OOK_-6,0.782395384,753.7280371
OOK_-4,0.976502709,843.0554481
OOK_-2,0.99990086,878.721293
OOK_0,0.999963082,1302.214225
OOK_2,0.999874243,1066.263151
OOK_4,1,1196.705924
OOK_6,1,1017.754789
OOK_8,0.999930762,1217.397504
OOK_10,1,1315.480449
OOK_12,1,1158.169493
OOK_14,1,966.4747889
OOK_16,1,1060.511646
OOK_18,0.999963705,1287.04179
OOK_20,1,1049.83692
OOK_22,0.999999536,1089.966262
OOK_24,1,1215.521144
OOK_26,1,931.2359204
OOK_28,0.999986606,1296.370807
OOK_30,0.999981432,908.9871931
4ASK_-20,0.496415415,875.4153435
4ASK_-18,0.497156154,650.6454542
4ASK_-16,0.50480694,825.3488286
4ASK_-14,0.4999843,672.1188228
4ASK_-12,0.510965349,1035.163083
4ASK_-10,0.502411719,741.0510442
4ASK_-8,0.517789687,695.8176146
4ASK_-6,0.76072563,866.6379063
4ASK_-4,0.997580663,717.4923623
4ASK_-2,0.999866022,1072.095238
4ASK_0,0.999974721,1000.596473
4ASK_2,0.999940752,1245.086977
4ASK_4,1,1059.964548
4ASK_6,1,704.4834826
4ASK_8,1,680.5258749
4ASK_10,1,700.9330146
4ASK_12,1,690.3013911
4ASK_14,1,686.6442268
4ASK_16,1,703.5703149
4ASK_18,1,700.6996462
4ASK_20,1,723.8539848
4ASK_22,1,712.6989899
4ASK_24,1,725.758827
4ASK_26,1,736.2763793
4ASK_28,1,703.2069931
4ASK_30,1,699.6361973
8ASK_-20,0.502453135,544.6866279
8ASK_-18,0.494752013,554.9799852
8ASK_-16,0.495370182,505.7938838
8ASK_-14,0.507908573,469.3450148
8ASK_-12,0.497258606,542.307642
8ASK_-10,0.494325382,519.3975139
8ASK_-8,0.513502805,503.3161187
8ASK_-6,0.826985786,482.0888143
8ASK_-4,0.993558964,533.0071943
8ASK_-2,0.999988003,624.1318552
8ASK_0,0.999997443,658.4689686
8ASK_2,0.999981704,713.4335537
8ASK_4,1,710.6648962
8ASK_6,1,741.1689229
8ASK_8,1,693.373832
8ASK_10,1,704.6416483
8ASK_12,1,723.6747818
8ASK_14,1,715.8123219
8ASK_16,1,684.7507479
8ASK_18,1,693.301733
8ASK_20,1,685.6868253
8ASK_22,0.999999569,706.7021723
8ASK_24,1,719.1615303
8ASK_26,1,904.6119227
8ASK_28,1,1154.291688
8ASK_30,1,723.3115051
BPSK_-20,0.505643895,508.5882289
BPSK_-18,0.50053705,505.8560624
BPSK_-16,0.503520729,549.3706198
BPSK_-14,0.49144383,548.2361019
BPSK_-12,0.497544924,535.8686652
BPSK_-10,0.505802664,462.8301351
BPSK_-8,0.497522932,533.9928718
BPSK_-6,0.494056072,513.3549783
BPSK_-4,0.501307711,501.2126622
BPSK_-2,0.504200636,512.7222269
BPSK_0,0.532348954,501.5543723
BPSK_2,0.590681131,496.1241894
BPSK_4,0.678689369,458.1281364
BPSK_6,0.739587801,516.5674126
BPSK_8,0.749917961,468.4805448
BPSK_10,0.689999022,511.3932016
BPSK_12,0.869716563,559.7986588
BPSK_14,0.768003372,535.2891028
BPSK_16,0.820805359,500.8451879
BPSK_18,0.756001987,472.1818137
BPSK_20,0.718451603,486.4406059
BPSK_22,0.864481437,516.1041737
BPSK_24,0.820006594,540.4230828
BPSK_26,0.884307435,493.7710724
BPSK_28,0.78370603,477.4061475
BPSK_30,0.708546379,478.4008565
QPSK_-20,0.499841168,489.6159396
QPSK_-18,0.498234914,516.3083
QPSK_-16,0.48959434,479.0813897
QPSK_-14,0.505674589,519.2086139
QPSK_-12,0.504906094,487.8473234
QPSK_-10,0.497143873,514.0101483
QPSK_-8,0.507409762,494.1920388
QPSK_-6,0.508257468,522.8999262
QPSK_-4,0.499927387,518.6470323
QPSK_-2,0.517997344,479.9326544
QPSK_0,0.521584588,485.9273355
QPSK_2,0.548879815,528.2074869
QPSK_4,0.653537615,518.2821081
QPSK_6,0.73033249,537.2530372
QPSK_8,0.722102507,511.6380599
QPSK_10,0.71554414,515.9522924
QPSK_12,0.725857751,541.0817382
QPSK_14,0.720922279,531.1274436
